Username,Score,At,Content,Aplikator
Pengguna Google,5,2024-09-07 00:00:17,Semoga bermanfaat dan secepatnya di acc,Ada Kami
Pengguna Google,1,2024-09-06 23:54:40,Tdk di acc,Ada Kami
Pengguna Google,1,2024-09-06 23:09:00,"Tolong hapus data"" sya yg udh tercantum mlaz jdix bnyak pertanyaannt ntr ujung"" d tolak",Ada Kami
Pengguna Google,5,2024-09-06 22:56:44,Sangat membantu,Ada Kami
Pengguna Google,5,2024-09-06 19:04:23,Sangat membantu saat belum gajian,Ada Kami
Pengguna Google,1,2024-09-06 18:04:53,Aplikasi taikkðŸ‘†,Ada Kami
Pengguna Google,5,2024-09-06 13:59:23,Goodjob,Ada Kami
Pengguna Google,5,2024-09-06 12:15:04,Ok,Ada Kami
Pengguna Google,5,2024-09-06 12:09:10,Good apps,Ada Kami
Pengguna Google,4,2024-09-06 11:52:24,Sukses selalu,Ada Kami
Pengguna Google,4,2024-09-06 11:45:32,Kalo lolos bakal bintang full,Ada Kami
Pengguna Google,1,2024-09-06 11:22:18,Gagal,Ada Kami
Pengguna Google,1,2024-09-06 11:14:20,aplikasi jelek,Ada Kami
Pengguna Google,5,2024-09-06 10:59:28,Pengajuan cepat,Ada Kami
Pengguna Google,1,2024-09-06 10:47:28,pengajuan ke 2 kok GK bsa sy byr cicilan lancar,Ada Kami
Pengguna Google,3,2024-09-06 10:27:32,Kalau sudah berhasil baru kasih full bintang,Ada Kami
Pengguna Google,5,2024-09-06 10:01:18,Pencairan sangat cepat,Ada Kami
Pengguna Google,5,2024-09-06 09:50:27,Sangat membantu,Ada Kami
Pengguna Google,5,2024-09-06 09:47:42,Sukses buat ada modal.,Ada Kami
Pengguna Google,1,2024-09-06 09:03:40,mohon maaf untuk aplikasi adamodal. Hari ini 06-08-2024 saya mengeluhkan soal teror yang terjadi pada saya spam celuler sangat meresahkan. padahal jatuh tempo saya 08-08-2024 kenapa saya terus terusan di teror padahal belum waktunya jatuh tempo? saya sangat menyayangkan akan hal ini.,Ada Kami
Pengguna Google,5,2024-09-06 08:54:48,saya kasih bintang 5 semoga bisa di acc,Ada Kami
Pengguna Google,5,2024-09-06 08:36:53,Good,Ada Kami
Pengguna Google,4,2024-09-06 08:15:48,Gimana,Ada Kami
Pengguna Google,4,2024-09-06 07:30:35,Sangat baik,Ada Kami
Pengguna Google,5,2024-09-06 07:27:18,Semoga sukses slalu.. Saya harap bisa membantu saya nambah modal usaha saya..amiin MaksihðŸ™‚,Ada Kami
Pengguna Google,5,2024-09-06 07:05:18,Semoga bisa cair,Ada Kami
Pengguna Google,1,2024-09-06 06:48:34,Mulai hari ini tnggal 6 september 2024 saya unistal apk.. karna tida di acc.. selanjutnya bila ada tagihan berbentuk apapun saya tidak tanggung jawab terima kasih,Ada Kami
Pengguna Google,5,2024-09-06 06:40:22,Mantaaaaap,Ada Kami
Pengguna Google,1,2024-09-06 06:14:57,"TIGA kali instalasi di a55 5G berakhir loading ga jelas. ini di tahap pengajuan. syarat2 sudah lengkap. pas proses kirim saat pengajuan, Loading. chat sekarang , yang ngejawab chat bot. seperti cuma ngumpulin data semata. di iklan bisa sampai 200 jt. faktanya plafon cuma 3 jt. dan yang bakal dipinjamkan lebih kecil lagi. 800rb. itu pun g tuntas. boro2 cair. untuk rekan2 yg lain selalu bijak. kadang IKLAN g sama dgn FAKTA . spt aplikasi ini. semoga menjelaskan. terimakasih untuk Google tim",Ada Kami
Pengguna Google,1,2024-09-06 06:11:59,Rumit persyaratannya dan sangat buruk pelayanan nya,Ada Kami
Pengguna Google,5,2024-09-06 06:10:50,"Baru coba, semoga lancar",Ada Kami
Pengguna Google,5,2024-09-06 05:42:16,Sangat mudah,Ada Kami
Pengguna Google,4,2024-09-06 05:21:29,Recommended,Ada Kami
Pengguna Google,5,2024-09-06 05:21:01,"Terima kasih sudah mau membantu saya,semoga sukses selalu untuk aplikasinya",Ada Kami
Pengguna Google,5,2024-09-06 04:22:20,Sukses,Ada Kami
Pengguna Google,5,2024-09-06 04:19:40,Keren banget,Ada Kami
Pengguna Google,1,2024-09-06 04:01:28,Pertolakan selalu,Ada Kami
Pengguna Google,4,2024-09-06 02:57:58,baru pertama pinjam semoga acc,Ada Kami
Pengguna Google,5,2024-09-06 02:51:06,Cair,Ada Kami
Pengguna Google,5,2024-09-06 02:42:04,Aplikasi penuh solusi,Ada Kami
Pengguna Google,4,2024-09-06 02:01:26,4 dlu blm cair mah,Ada Kami
Pengguna Google,5,2024-09-06 01:41:19,Saya lgsung dpt pinjaman. Tpi setelah saya bayar knapa ga bsa mnjam lgi ya,Ada Kami
Pengguna Google,3,2024-09-06 00:31:18,3 dulu..klw acc tak sy tambahbintang nya,Ada Kami
Pengguna Google,5,2024-09-06 00:11:39,Bagus,Ada Kami
Pengguna Google,5,2024-09-05 23:29:52,ok,Ada Kami
Pengguna Google,5,2024-09-05 23:20:43,"Terima kasih ada modal, sedikit menegangkan mengisi data2nya, semoga di ACC ðŸ˜Š",Ada Kami
Pengguna Google,5,2024-09-05 21:54:54,Sangat mantap,Ada Kami
Pengguna Google,1,2024-09-05 21:41:46,Per tanggal 6 sept pukul 04.40 saya uninstal aplikasi .segala bemtuk penagihan atau penyalah gunaan data bukan tanggung jawab saya,Ada Kami
Pengguna Google,5,2024-09-05 21:29:51,Mantap,Ada Kami
Pengguna Google,1,2024-09-05 20:08:39,"Jumat 9 Agustus2024 saya bersaksi dan beberapa teman yang menyaksikan, dan saya telah menghapus akun dari apk ada modal dengan alasan pengajuan beberapakali di tolak. Adapun bukti penghapusan akun' saya telah meng screenshot nya. Dengan sangat hormat tolong di hapus data yang pernah saya kirimkan Mohon untuk di mengerti terimakasih.",Ada Kami
Pengguna Google,4,2024-09-05 20:04:38,Mudah di pahami,Ada Kami
Pengguna Google,3,2024-09-05 17:20:46,Semoga membantu,Ada Kami
Pengguna Google,5,2024-09-05 14:56:27,Ada modal mantaff,Ada Kami
Pengguna Google,5,2024-09-05 14:51:00,Pendaftaran yg mudah dan cepat Semoga di acc Pinjaman yg Mendukung kebutuhan mendesak rekomended buat kalian yg lagi butuh dana darurat,Ada Kami
Pengguna Google,4,2024-09-05 13:57:56,sangat membantu semoga di ACCðŸ™ðŸ˜Š,Ada Kami
Pengguna Google,1,2024-09-05 13:36:19,"Bunga nya tinggi sekali, pinjaman sama yang diterima jauh berbeda!!!!",Ada Kami
Pengguna Google,1,2024-09-05 13:22:11,Buruk,Ada Kami
Pengguna Google,5,2024-09-05 13:02:51,Ada modal sengat membatu disaat lagi susah aplikasi sangat terpercaya sangat membantu keren... ðŸ‘,Ada Kami
Pengguna Google,5,2024-09-05 13:02:51,Aku lagi membutuhkan uang itu buat Berobat,Ada Kami
Pengguna Google,5,2024-09-05 12:52:51,Baik,Ada Kami
Pengguna Google,1,2024-09-05 11:08:09,pinjol bodong,Ada Kami
Pengguna Google,1,2024-09-05 10:16:56,Maaf saya g jd minjem Limit nya terlalu rendah. Maaf saya g jd minjem tgl 5/09/2024 saya g jd minjem jd tolong data saya jangan di salah gunakn trima kasih. Kalau di salah gunakan saya tuntut ke jalur hukum trima kasih,Ada Kami
Pengguna Google,1,2024-09-05 10:04:23,"Maaf karna pengajuan saya gak di ACC...mohon hapus data"" saya y jangan sampai di salah gunakan kalau sampai di salah gunakan saya tidak bertanggung jawab atas app ini...trimakasih...karna saya mau uinstal app ini ðŸ™",Ada Kami
Pengguna Google,4,2024-09-05 09:51:41,Pendaftaran cepat,Ada Kami
Pengguna Google,5,2024-09-05 08:05:11,Okeee,Ada Kami
Pengguna Google,5,2024-09-05 07:52:59,Kalau bisa mah jangka pembayaran nya jangkau panjang ya ussahain,Ada Kami
Pengguna Google,5,2024-09-05 07:52:56,Masuk,Ada Kami
Pengguna Google,5,2024-09-05 07:26:54,Semoga di ACC,Ada Kami
Pengguna Google,1,2024-09-05 06:40:27,Karna permohonan di tolak maka hari ini kamis 5september 2024 apk saya uninstal karena sudah tidak di gunakan dan saya harap tidak terjadi sesuatu kelak nanti dan mohon data saya di hapus makasih,Ada Kami
Pengguna Google,1,2024-09-05 06:39:20,"Dasar aplikasi ga jelas,,jangan mau download aplikasi ini dasar penipu",Ada Kami
Pengguna Google,5,2024-09-05 06:07:40,sangat baik dan membantu untuk keperluan,Ada Kami
Pengguna Google,5,2024-09-05 05:20:14,Mudah pengajuan acc jugak vepet matap,Ada Kami
Pengguna Google,5,2024-09-05 05:10:02,Mudah,Ada Kami
Pengguna Google,5,2024-09-05 04:59:47,Oh sangat membantu untuk pinjamanninih,Ada Kami
Pengguna Google,4,2024-09-05 04:51:39,Sangat cepat tidak perlu tunggu lama,Ada Kami
Pengguna Google,5,2024-09-05 04:20:53,Nice,Ada Kami
Pengguna Google,1,2024-09-05 03:51:44,Aplikasi ini memiliki persyaratan yang lebih sulit dibandingkan dengan aplikasi sejenis lainnya. Limit awal yang diberikan juga relatif kecil,Ada Kami
Pengguna Google,5,2024-09-05 03:31:04,Saya senang dengan ada nya ada modal,Ada Kami
Pengguna Google,5,2024-09-05 03:09:49,keren,Ada Kami
Pengguna Google,5,2024-09-05 01:49:58,Bagus,Ada Kami
Pengguna Google,5,2024-09-05 00:20:47,Proses cepat,Ada Kami
Pengguna Google,5,2024-09-04 23:56:27,Mantap,Ada Kami
Pengguna Google,1,2024-09-04 23:10:27,Pengajuan pinjaman susah banget,Ada Kami
Pengguna Google,5,2024-09-04 19:32:08,Ok,Ada Kami
Pengguna Google,5,2024-09-04 19:25:51,Proses mudah,Ada Kami
Pengguna Google,4,2024-09-04 18:30:25,Ok,Ada Kami
Pengguna Google,1,2024-09-04 18:09:42,Cuma utk pekerja di pt.,Ada Kami
Pengguna Google,5,2024-09-04 17:11:55,aplikasi ini mudah dan cepat dan cepat di cairkan,Ada Kami
Pengguna Google,5,2024-09-04 17:07:49,Baru nyoba,Ada Kami
Pengguna Google,5,2024-09-04 16:08:11,Terbaik,Ada Kami
Pengguna Google,5,2024-09-04 15:03:23,Membantu,Ada Kami
Pengguna Google,3,2024-09-04 14:39:35,Pengajuan sangat cepat tapi semoga bisa disetujui,Ada Kami
Pengguna Google,5,2024-09-04 14:37:02,Simple dan Smg bisa di acc,Ada Kami
Pengguna Google,5,2024-09-04 13:44:43,Aplikasinya sangat bagus dan sangat membantu sekali di kala kita LG ada kebutuhan mendadak. Super mantappp.,Ada Kami
Pengguna Google,3,2024-09-04 13:08:04,tenor pinjaman pendek limit juga sedikit.. mohon bantuannya,Ada Kami
Pengguna Google,5,2024-09-04 13:04:34,Semoga membantu,Ada Kami
Pengguna Google,5,2024-09-04 12:53:59,Semoga acc,Ada Kami
Pengguna Google,5,2024-09-04 12:53:04,aplikasi ini recommended,Ada Kami
Pengguna Google,5,2024-09-04 12:46:38,Bagua sekali..cpatt,Ada Kami
Pengguna Google,1,2024-09-04 12:43:19,Jngan download aplikasi ini lw tdak mw menyesal 2 hari sebelum jatuh tempo sdah di tlpon harus bayar sma cara.y kasar tdak bagus..,Ada Kami
Pengguna Google,5,2024-09-04 12:32:30,Semoga di accc n bisa membantu,Ada Kami
Pengguna Google,5,2024-09-04 12:05:00,Yg lain wajib download apk ini .. udh aman cepat dan mudah ada modal the best lah,Ada Kami
Pengguna Google,5,2024-09-04 11:40:01,Bagus,Ada Kami
Pengguna Google,1,2024-09-04 10:49:11,Baru pengajuan. semoga lolos.. Tapi ga lolos,Ada Kami
Pengguna Google,5,2024-09-04 10:37:41,Semoga cair,Ada Kami
Pengguna Google,1,2024-09-04 10:27:49,"sangat tdk bisa membatu, mhon jgan slah menggunakan data s, s akan tuntut bila anda salah menggunakannya data2 pribadi s,",Ada Kami
Pengguna Google,4,2024-09-04 10:25:52,Mudah dn tidak ribet,Ada Kami
Pengguna Google,1,2024-09-04 10:09:48,"Potongan pinjaman terlalu besar, jangka waktu hanya 14 hari. Pinjam 500rb potongan 120rb pengembalian 521 rb",Ada Kami
Pengguna Google,5,2024-09-04 09:54:08,Ada modal ok banget,Ada Kami
Pengguna Google,5,2024-09-04 09:41:43,Baik,Ada Kami
Pengguna Google,5,2024-09-04 09:18:16,Mudah2han diacc,Ada Kami
Pengguna Google,5,2024-09-04 08:52:27,semoga pencairannya di permudah dan bis lolos,Ada Kami
Pengguna Google,1,2024-09-04 08:48:45,Ngeerrrii juga pinjam di ada modal. Belum jatuh tempo sudah di tlpon puluhan kali sehari. Apalagi kalau sampai telat bayarrr . Cukup satu x aja pinjam di ada modal ðŸ¤¬ðŸ¤¬ðŸ¤¬,Ada Kami
Pengguna Google,5,2024-09-04 08:39:19,Good,Ada Kami
Pengguna Google,4,2024-09-04 08:37:39,Kalau udah cair baru tambah LG bintang nya,Ada Kami
Pengguna Google,1,2024-09-04 08:21:55,"Tolong hapus dataÂ² saya semua, kenapa saya meminjam tidak bisa dan akhirnya di tolak tidak di setujui padahal saya sudah mengisis semua dataÂ² saya, jika saya di teror saya akan laporkan ke pihak yang berkewajiban.",Ada Kami
Pengguna Google,5,2024-09-04 08:20:51,Sangat membantu,Ada Kami
Pengguna Google,5,2024-09-04 08:11:38,sangat baik aplikasi terpercayaâ¤ï¸â¤ï¸,Ada Kami
Pengguna Google,1,2024-09-04 08:01:14,Bismillah,Ada Kami
Pengguna Google,5,2024-09-04 07:34:50,Good,Ada Kami
Pengguna Google,1,2024-09-04 07:33:34,"Udah isi lengkap sama data pekerjaan tetep aja tidak lolos, padahal ngasih limit, tp tetep aja ga lolos, aneh",Ada Kami
Pengguna Google,5,2024-09-04 07:26:28,Aplikasi yang mudah dan gk ribet langsung acc jgn ragu pakai aplikasi ini,Ada Kami
Pengguna Google,2,2024-09-04 07:24:31,"04/09/24 saya uninstall apk ini, saya tidak jadi meminjam di apk ini. Tolong hapus dan jangan salahgunakan data pribadi saya.",Ada Kami
Pengguna Google,5,2024-09-04 07:23:52,Semoga bermanfaat dan bisa saya manfaatkan,Ada Kami
Pengguna Google,1,2024-09-04 07:15:05,Aplikasi penipuan...di formulir bunga cuma 33 rb ..pas pencairan dipotong 180 RB..plus pelunasan 33....jadi Bunga cukup besar 200 RB lebih dari total 800..cuma cair 600 rb an,Ada Kami
Pengguna Google,5,2024-09-04 06:51:40,memuaskan,Ada Kami
Pengguna Google,3,2024-09-04 06:48:19,bagaimana cara menghapus akun permanen,Ada Kami
Pengguna Google,1,2024-09-04 06:30:37,GAK DI ACC MALAS,Ada Kami
Pengguna Google,1,2024-09-04 06:18:44,Apk susah di acc buruk jangan pernah mencoba ada modal,Ada Kami
Pengguna Google,5,2024-09-04 06:04:47,Saya kasi bintang 5 karena sangat mudah dan proses pengajuan nya bagus bangetðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,Ada Kami
Pengguna Google,1,2024-09-04 05:38:58,dari pagi bs tlp berulang kali ngakunya dr ada modal pinjaman sy sdh d acc tuk pengnmanjuan hari ini ujungnyjg sya d tolak jg ingat sy tdk akan mau bayar bila ada tagihan hapus data saya aplikasi jg sy uninstal per tgl 3-09-2024.... bintang satu sdh lbh dr cukup,Ada Kami
Pengguna Google,5,2024-09-04 05:37:30,Salah 1 pinjaman.yg bgus dan bramanah saya bru pertama cba lngsng di acc trimakasi ada modal trus brkembang,Ada Kami
Pengguna Google,5,2024-09-04 05:33:45,good,Ada Kami
Pengguna Google,5,2024-09-04 05:19:53,Keren,Ada Kami
Pengguna Google,3,2024-09-04 05:18:05,3 bintang dulu kalau pinjaman berhasil saya tambahkan menjadi 5 bintang,Ada Kami
Pengguna Google,5,2024-09-04 04:41:53,Semoga acc pengajuan nya,Ada Kami
Pengguna Google,4,2024-09-04 04:30:56,Segini dulu,Ada Kami
Pengguna Google,1,2024-09-04 04:27:06,"Per tgl 4september saya mau unisnital ini app Bner2 lintah online,sya sudah lunasi utang yg bner2 menjebak. Bagi yg blm daftar /donlot sya sarankan untuk utk tdk mndonlot.",Ada Kami
Pengguna Google,4,2024-09-04 03:56:25,Pengajuan cepat mudah dan tidak ribet,Ada Kami
Pengguna Google,5,2024-09-04 03:48:06,Sangat bantu,Ada Kami
Pengguna Google,5,2024-09-04 03:28:41,Mantap boskuh,Ada Kami
Pengguna Google,4,2024-09-04 03:03:16,Boleh,Ada Kami
Pengguna Google,5,2024-09-04 02:47:42,good mantap gercep,Ada Kami
Pengguna Google,1,2024-09-04 02:39:00,"Sudah potongannya besar di awal juga Paling parah cara penagihannya kaya ga punya adab malu,bikin orang emosi gabisa bikin percaya dan nyaman mohon dididik mulut-mulut karyawannya.. Agar tidak merugikan pelanggan trmksh",Ada Kami
Pengguna Google,5,2024-09-04 02:10:02,Sederhana dan tidak ribet,Ada Kami
Pengguna Google,5,2024-09-04 00:53:24,pengajuannya cepatt,Ada Kami
Pengguna Google,5,2024-09-04 00:52:00,mantapp,Ada Kami
Pengguna Google,5,2024-09-04 00:15:58,Cepat,Ada Kami
Pengguna Google,4,2024-09-03 23:52:39,Sangat membantu,Ada Kami
Pengguna Google,1,2024-09-03 21:16:32,Jangka waktu pelunasan sangat pendek yaitu hanya 14 hari,Ada Kami
Pengguna Google,5,2024-09-03 21:11:40,Sangat membantu âœŒðŸ‘ðŸ‘,Ada Kami
Pengguna Google,4,2024-09-03 20:59:02,Cuku baik,Ada Kami
Pengguna Google,5,2024-09-03 18:53:43,Sangat membantu,Ada Kami
Pengguna Google,5,2024-09-03 17:58:35,Mantap.. semoga di acc proses pengajuan nya karna sudah lengkap,Ada Kami
Pengguna Google,1,2024-09-03 17:48:11,"Aplikasi gak jelas,",Ada Kami
Pengguna Google,5,2024-09-03 17:15:35,"saya sudah daftar dgn data yg lengkap,tapi blm ada pinjaman yg didapat.mohon di acc kak.platform pinjol yg bagus,suku bunga rendah dan limit pinjaman yg sesuai dgn kbthn.",Ada Kami
Pengguna Google,5,2024-09-03 16:18:40,Terimakasih ada modal. Saya mohon permintaan pinjaman saya di ACC. Dan menjadi pinjaman yg mantap.terima kasih,Ada Kami
Pengguna Google,5,2024-09-03 15:47:32,Moga aja pengajuan pinjaman dana saya di acc amin,Ada Kami
Pengguna Google,4,2024-09-03 15:08:17,Ini dulu yah nanti jika bagus saya ganti ke 5,Ada Kami
Pengguna Google,5,2024-09-03 15:07:10,Saya puas dengan aplikasi ini mudah,Ada Kami
Pengguna Google,5,2024-09-03 15:05:06,sangat puas,Ada Kami
Pengguna Google,5,2024-09-03 13:43:19,Sangat membantu dah cara pengajuanya,Ada Kami
Pengguna Google,1,2024-09-03 13:22:11,Malas kagak pernah di acc di tolak Mulu apk ga penting,Ada Kami
Pengguna Google,1,2024-09-03 13:18:19,"Tanggal 3 sep 2024 saya uninstal apk ini,karna pengajuan saya tidak di setujui dan saya ada bukti nya klo saya tidak di setujui, mohon data saya tidak disalahgunakan. Apabila ada penyalahgunaan data saya, saya akan lapor pada pihak yg berwajib.",Ada Kami
Pengguna Google,4,2024-09-03 12:10:09,Sedang mencoba semoga acc,Ada Kami
Pengguna Google,5,2024-09-03 11:59:01,Semoga berhasil,Ada Kami
Pengguna Google,5,2024-09-03 11:35:08,Proses mudah,Ada Kami
Pengguna Google,1,2024-09-03 11:24:00,Jangan download pinjol ilegal hati hati... kalau kalian gk percaya coba aja.. data kalian di ambil pinjaman di tolak tapi ada tagihan... ini cuma curi data kalian saja buat di pakai dia ke pinjol lain. Hati2 tiba2 ada kolektor dtng kerumah berarti ini orang aplikasi yg pakai,Ada Kami
Pengguna Google,5,2024-09-03 10:58:45,acv,Ada Kami
Pengguna Google,4,2024-09-03 10:44:39,ðŸ‘,Ada Kami
Pengguna Google,5,2024-09-03 10:26:51,"Saya kasih bintang 5, Terima Kasih ada modal telah memberikan saya kepercayaan bergabung di Aplikasi ini, rupanya Kalau pinjam di Ada Modal tidak bisa dua platform pinjaman dalam satu aplikasi, itu sudah aturan di Perusahaan Ada Modal, untuk menjaga nasabah gagal bayar, pinjam di Ada Modal resiko sangat tinggi pikir beribu kali sebelum ajukan pinjaman, Saya revieu rupanya Ada Modal adik kakak dengan Modal Nasional, Sukses selalu dan Maju.",Ada Kami
Pengguna Google,5,2024-09-03 10:18:06,No ribet,Ada Kami
Pengguna Google,4,2024-09-03 10:13:10,"Aku kasih bintang 4 krn pngjuan sya d acc terimakasih sudh membantu di saat terdesak , walapun aga kecewa krn pijaman 800 rb yg masuk rekening cmn 614 rb di mn tidk tercantum rincian di awal akan ada potongan 186 rb , dn sya hrs mngblikn 833 rb dlm 14 hari ,",Ada Kami
Pengguna Google,1,2024-09-03 09:47:32,akun abal abal..permohonan ditolak kenapa akun ga bisa dihapus,Ada Kami
Pengguna Google,5,2024-09-03 09:46:47,lumayan baguss,Ada Kami
Pengguna Google,5,2024-09-03 09:38:30,Semoga makin baik,Ada Kami
Pengguna Google,5,2024-09-03 09:07:06,Terima kasih,Ada Kami
Pengguna Google,5,2024-09-03 09:05:24,Mantap,Ada Kami
Pengguna Google,2,2024-09-03 08:24:38,"Ada modal maaf saya tidak mengajukan pinjaman dan saya melakukan penghapusan akun tetapi tidak bisa, mohon jangan salah gunakan data saya karna pengajuan saya di tolak dan artinya saya tidak memiliki pinjaman di ada modal.",Ada Kami
Pengguna Google,5,2024-09-03 08:02:29,Mudah untuk mendapatkan penawaran,Ada Kami
Pengguna Google,1,2024-09-03 08:02:20,"Pas diberi bintang 1,mau menghapus akun saja sulit nya minta ampun,proses nya lelet.",Ada Kami
Pengguna Google,5,2024-09-03 07:56:18,Semoga bermanfaat,Ada Kami
Pengguna Google,5,2024-09-03 07:48:22,Mantap mudh proses dan cairnya cuma ajukan pinjaman 800 cairnya 600 dan pelunasan 833.tpi gpp sukses slalu,Ada Kami
Pengguna Google,1,2024-09-03 07:32:58,"Aplikasi sangat burukk,saya ngajuin di tolak trus, sekarang malah bilang saya jatuh tempo pembayaran nya aneh nerima uang aja ngak pernh malah saya di suruh bayar",Ada Kami
Pengguna Google,5,2024-09-03 07:30:33,Cukup membantu,Ada Kami
Pengguna Google,5,2024-09-03 07:20:26,Moga bisa cair ...ini yang pertama kalinya aq pinjam,Ada Kami
Pengguna Google,3,2024-09-03 06:56:29,Semoga aja di setujui pinjaman nya,Ada Kami
Pengguna Google,5,2024-09-03 06:43:31,Bismillahirrahmanirrahim semoga bermanfaat,Ada Kami
Pengguna Google,5,2024-09-03 06:35:21,"mantap ada modal pengajuan prtama ke dua sllu di acc tpi syang limitnya minim,tpi gpp lah buat kebutuhan mendesak.tks ada modal ðŸ™ðŸ™",Ada Kami
Pengguna Google,3,2024-09-03 06:32:26,"Baru nyoba mudah""an cair",Ada Kami
