Nama,Review,Rating,Tahun
ALFIN FAUZI,Tolong pihak richeese tukang parkirnya di tindak ya kalo bsa jgn ada tukang parkir.msa sayaa ojol di pinta juga.argo 8rb di pinta 2rb gila emg.tolong dong tindak jgn diem aja payah Prusahaan doang gede sma tukang parkir takut,1,2024
Faras aprilia,Karyawannya toxic bad attitude tolong dong pihak rechesee seleksi karyawannya yang bener attitudenya nol banget miris liatnya.,1,2024
Renal Do,Pelayanannya lama sampe satu jam nunggu bilang hanya 15menit,1,2024
Mamat T,"Pelayanan lama, lelet , makan di tempat juga udah agak kurang rapih , harganya mulai up kualitas sama, pas liat struk ada biaya tambaha 'servis' untuk bawa pulang , lah kan yg menayjikan makanan emang udah tugas pelayan minta di servis juga ",1,2024
Nikko,Pelayanannya terlalu lama padahal jam makan siang namun yg melayani hanya sedikit orang hingga terjadi antrian yg sangat panjang,1,2020
Ryan Alya,Beli 1 ekor yg flying..oh Tuhan banyak darahnya bangett...lgsg aku buanh disampah hotel..parah bgt woiii...pegawai richis depok gak bersihan ,1,2024
Bagus Ajie Septian,Tukang parkirnya sangat tidak ramah hanya mengantar dan tidak parkir tapi maksa minta uang tolong pihak richese jangan kasih preman seperti ini kuasain parkir bikin kami tidak mau lagi mampir ke resto anda,1,2024
Muhammad Rafli Riva'i,lama banget pelayanannya untuk ojol saya 1 jam  disini belom siap juga orderannya,1,2024
Pt. Garjita,Pengalaman berkunjing kurang menyenangkan. Krn pas pandemi skrg ini. Pas kami masuk toilet dan wastafel air tidak mengalir. Lemudian ditambah lagi kebetulan kami habis perjalanan jauh dan macet dan cukup lapar. Ketika memesan makanan...kami ,1,2022
Eko Priyatno,Payah ngga ada parkiran khusus buat ojol.... Markir nya jd bayar besok2 cancle aja coz ngga enak juga ngga ngasih uang parkir ke tukang parkir nya.... Tp kalo d kasih ngga enak juga sama cs nya mau minta uang parkir ngga ada bukti pembayaran parkiran nya..... Kacau bet deh ah...,1,2023
Marlan Simamora,"Pelayanan lama, kasir cuma 1?resto besar, gk bisa gaji karyawan apa",1,2021
Angelita Naraswati,"Pesennya apa dikasihnya apa Tau gitu tanpa minuman tau gak Saya pengennya pink lava dikasih malah watermelon blast. Sangat gak teliti Mohon dibaca ya, ini saya jadi rugi karena gak minum",1,2023
William Fernando,"Tambah staf nya , menunggu terlalu lama .",1,2024
Ihwan Lulu,Lama sekalii pesanan jadi....hampir 1 jam an..,1,2024
Maulana Sani (Bang Sani),Parah...tempatnya kurang bersih  dan berantakan. Karyawannya sedikit mungkin banyak yg kena dirumahkan. Kualitas makanan seperti ayam yg sudah busuk (daging agak hitam) kelamaan di frezzer. Tempat besar tapi tdk tersedia mushola.,1,2021
eliya Sapna,"nambah keju nya cuma bisa satu, mau bayar juga gabisa. padahal di tempat lain boleh boleh aja",1,2024
Mul Yana,Tukang parkir maksa minta uang parkir sedang kan tidak ada tiket. Saya sebagai ojol cuma pickup mknan di resto itu masa kena parkir. Parah. Mana so jagoan lagi tukang parkir nya,1,2023
Rahmad Febri,"Kecewa krn wktu datang kamar mandi tdk bisa dipakai air tdk ada...Harusnya sekelas richeese ada backup untk air,masak kamar mandi rusak..dan satunya tdk ada air..wastafel jg tdk ada air...hrsnya utamakan perbaikan dlu,",1,2023
Sity Khadafi,Saya liat tukang parkirnya berbuat kurang menyenangkan dengan mengetuk dengan gagang kayu bagian kepala motor driver ojek online saat meminta uang parkir saat hujan deras...sepertinya richees kurang baik jika pengunjung nya mbawa kendaraan ,1,2022
Chandra Chahyadi,2 tempat Richeese didepok sudah bebrp tahun AC nya gak prnh dibenerin... Apalagi Richeese yg disamping Gunadarma akses UI situ parah panasnya krn AC jg sama gak pernah di betulin dr Anak prnh perayaan ultah yg ke 5 disitu sampe skrg masih ttp panas bgt.....,1,2022
herlambang waway,Permisi min saya dari driver ojol kemarin saya dapat orderan food richeese factory Margonda saya baru keluar narik masa saya di tagih duit parkir. Saya udah bilang sama yang jaga parkiran sorry ya gua baru narik terus dia marah2 sama saya ,1,2022
Nana,"Ruang atas utk party tidak cocok, cocoknya utk oven atau sauna. Panasnya ampuuuun dehJangan hanya menghitung kapasitas muat manusia tapi hitung juga kelayakan pendingin ruangan disaat orang banyak / full. Gile Lo ndro Panas tauuu Anak2 bisa pingsan  ",1,2019
Ubaidillah Ubaidillah,"Tolong parkir difalitasi buat ojol,karena juru parkir agak memaksa bayar parkir ,sedangkan dari Costumer pun, tidak memberikan tambahan parkir,jangan sampai kalah sama mall di Jakarta yg sudah ada lahan parkir buat ojol, semoga comment saya ditanggapi dengan serius",1,2023
sigit p,Kalau order online mending pikir2 lg deh. Males banget beli disini. Dikasihnya ayam sisa kemarin terus digoreng lg. Udah bau jg ayamnya.,1,2022
Muhammad Fadillah,Masih sore french fries sudah abis aja emng tidak nyetok ya,1,2024
AGA 99,"Saya memesan paket combo fire wings tapi tidak mendapatkan nasinya,  saya menunggu lama dari grabfood ketika dapat malah mengecewakan begini. Tolong proffesional, mungkin bagi anda kesalahan begitu tidak seberapa tapi sungguh saya sangat kecewa ditambah kondisi saya yang sedang lapar",1,2020
Prawira Adhiguna,"Pesan 2 paket ayam black richeese pas sampe rumah cuma ada 1 saos blacknya....disuruh nunggu, kalau sudah siap pesanannya akan dipanggil tapi ternyata pesanan sudah siap di meja hampir ssetengah jam saya tidak dipanggil2....untung saya tanyain.....parah",1,2020
Edsa M. Hashmi,Antrinya lama.... 48 menit hanya u pesan makan,1,2017
Fajar Kuswaya,"Gak banget.... kasir cuman 1 jutek pula, gak ada air utk cuci tangan gak ada musholla",1,2023
Salsabila Azzahra,"Udah ngantri panjang dan lama, ternyata menu yg tersisa tinggl satu aj...Coba buat solusi dg mencantumkan nama menu yg habis dan yg masih tersedia, sehingga calon pembeli tidak perlu berlama antri tapi menu yg ingin dipesan sudah habis",1,2018
Ibrahim Ajii,Parkir buat ojol klo dapet richeese ga nyaman.. klo mau keluar sampe di halangin. Kang parkir nya songong di pintain duit.,1,2023
Mawar Dini,"Lain x dbedakan antara kasir untuk para driver ojol sma kasir yg coustmer, saya ksitu cuma sendiri yg lain jaket hijau semuanya jadi risih gitu.....",1,2020
Rizma Octhavianie,Makanan sisa kemarin di goreng lagi..,1,2023
Putri Aprilia,"Beli yg paketan aren ada donatnya tapi pas diterima gada donatnya , mana lagi pengen2nya pula duhhh bikin mood pengen makan jd ancur aja ..",1,2022
Doy pabloo,"Pelayanan sangat buruk... Mementingkan penjualan tidak mementingkan penataan pesan antar terhadap ojol, tolong diseftykan lagi untuk pemesanan siap antarnya terhadap ojol yg mendapatkan orderannya...",1,2021
Gojek Driver,Pelayanan buruk dan lama,1,2024
muhammad ikbal,Tukang parkir nyaaa berasa raja parahMarah2 gajelas ,1,2023
agung kurniawan,Resto sepi Pelayanannya lamaa bnget nunggu 30 menit,1,2024
siti lestari,"Tolong jgn pelit karyawan, kalo rame begini cust musti antri lama, nunggu pelayanan yg musti satu2 dilayani. Mohon kebijakannya, terimakasih",1,2021
Arpandi Marbun,"TOLONG YA BUAT KARYAWANNYA, KALAU ORDERAN MASUK LANGSUNG DIBUATIN DONG, JGN BIKIN DRIVER NUNGGU TERLALU LAMA.JGN UTAMAKAN YG MAKAN DITEMPAT DONG",1,2023
Evie Widya,"Kecewa sangat, saya pesan lewat app online, setelah pesanan sampai , gak bisa dimakan Krn nasinya setengah matang, banyak yg mentah...tolong diperhatikan",1,2020
Niky Nadia,"Outletnya gelap bgt, kebersihannya kurang, dan petugasnya juga lama. Makanan enak sih, tp yg masak gapake sarung tangan huf",1,2021
Stanley Wijaya,"Beli firewings 6pcs gk dapet cheese sauce nya. Kecewa banget, brand segede Richeese gk teliti melayani customer nya",1,2022
Tasya Tsamarah,Richeese tergoblok pelayanan sampah. Jam 17:36 inget banget bagian Kasir  ga ngerti sama orderan saya protokol kurang huftt males kesana lagi,1,2022
Markonah Marayani,Tukang parkir mental pengemis masih aja dipelihara disini,1,2024
Vita Liani,"SANGAT AMAT MENGECEWAKAN UDAH SABAR NGANTRI DARI JAM 11 TERNYATA TETEP BELI HARGA NORMAL YAUDAH GA MASALAH BILANGNYA 10 MENIT SELESAI TERNYATA LEBIH DARI 10 MENIT, WAJARLAH YA SAYA NANYA LAGI KENAPA BLM JADI? ABIS ITU MAMA SAYA MINTA ",1,2018
Herry DVOC,Pelayanannya lama kl driver blm datang ga d bikinin ga ky resto lain,1,2023
riyan putra,Pelayanan lambat ga recomendBikin antrian panjang banget pegawai nya sedikit ga sesuai sama pesanan,1,2020
Anton Sinaga,Terlalu lama....ngantrinya.harusnya kasurnya dibuka dong 3 nya....jadi orang mau makan ngak terlalu lama mengantri...,1,2020
Abdul Halim,"AC Mati, ayamnya dingin, antrian lama",1,2020
bang gaze,Kurang akurat informasi jam nyaMasa baru jam 21.30 dah tutupDi info jam 00.00 ,1,2022
Melli Hidayanti,Mesen online ayam gosong+ perkedelnya gosong,1,2024
Miftah Aulia,"Katanya fast food, pelayanan aja ko lama amat padahal sepi",1,2021
indra jaya,Mejanya bau banget sepatu...sumpah bauu banget jd ga nafsu makan d situ... Toiletnya juga jorok,1,2019
sari amelia,"Toko nya panas bgt dan gelap jd tidak nyaman utk makan di sana.suasana hening bgt jd serem..gelap,panas,hening",1,2021
Aslam akbari,"Baru ini kecewa, lama pelayanan buruk, di tanya ehh belum dibikin",1,2023
Riefka Sonca`,"Kecewa sih, 3 kali ke sini, 3 kali pula makan ditemenin lalat-lalat hijau yang gede-gede. Rasa sih sama aja sama richeese yang lain.",1,2018
Muhammad Arsena,Tolong pihak resto sediakan plastik untuk orderan ojol,1,2024
Octa Galuh,"pelayanannya standar, fasilatasnya tidak layak, seperti ac dan kamar mandi",1,2022
Visca Yonar,Pelayanannya lambat sekali tdk ada disediakan konsumsi untuk ojol,1,2020
Aneka Bisnis,Biasa aja...dah gitu g bisa pesan lewat grab...payah,1,2020
Erwin Kartadiputra,"Antriannya panjang banget,kalo belum 2 jam,belom dapet pesanannya",1,2020
Go Alam,AC nya panas kasir cuma 1 ngantri man...,1,2020
erwan 3905,Pelayanannya lama udah gitu online ditagih bayar parkir,1,2023
Imam Muttaqin,"juru parkir maksa ga sopan, bikin males mampir",1,2023
Maulindra,"Pelayanan buruk, cuma 1 kasir yang melayani jadi lama",1,2019
Mul Yana5959,Tukang parkir nya maksa ke ojol..padahal tidak resmi,1,2023
Dimas Raditya,Antrian panjang kasir yg  dibuka cuma 1 kasir. Parah,1,2020
Fireman Green,Makan disini ngantrinya lamaa.. Soal rasa juga biasa aja,1,2018
Evron Erlangga,"Parkir nya mahal banget, nyesel kesini",1,2020
Juan sebastiansyah,"Pelayanan buruk, yang melayani cuman 1. Padaha sepi, sampe ngantri",1,2018
Anna,"Pelayanannya buruk,toilet sangat kurang bersih ",1,2021
handmad _,Mahal anj nasi ama ayam sepotong aj 23juta,1,2019
fazriel lhg,Pelayanan paling lambat antri pajang banga,1,2019
Bambang Setiawan,Tukang parkir nya songong,1,2023
akhmad furqon,"Tempat nya gerah, Pelayanannya lama  ",1,2021
rolly anie,Ga suka dgn rasa dari ayam tersebut,1,2018
Herman SiamR,"Cape antri, mending pesen online",1,2022
Amrin Sjafiuddin,Lelet Pelayanannya,1,2022
ahmad gunawan ghazali,kaga bagus payah,1,2023
Irwan Saputra Amir,Lambat Pelayanannya,1,2024
Eka Kirana,Tukang parkirnya ga sopan,1,2023
itris damarjati,Pelayanannya parahhhhh....lamaaaaa,1,2021
hafizh mohamad,Ga bisa pesan lewat aplikasi lagi ya,1,2018
Muhamad Laksanasurya,Seperti hidup segan mati tak mau,1,2022
Marulloh Mulo,Pelayanannya kurang cepatttttt,1,2020
Tri Hand,Pelayanan terlalu lama .,1,2023
Hary 360,Pelayanannya sangat lama,1,2022
Zaid Arslan,Antrian mengular... Kasir cuma satu,1,2018
Yono Azhari,AC tidak nyala.pelayanannya lama,1,2021
Admineser M,Pelayanan kurang baik,1,2023
arie basta,Menu breakfast kurang variatif,1,2018
Clarissa Putri,Parkirannya engga banget,1,2022
Alfi Hidayat,Layanan wifinya tidak bagus,1,2020
Hary,Pelayanannya lelet dan lama,1,2021
mohammad masroni,AC nya puanas,1,2021
Ruben Harisanova,"kurang bersih  tempatnya, ga rekomendasi",1,2020
Rafqi Nandi,Sekarang sambal khasnya dipisah,1,2017
andhika julkian,Pelayanannya lama,1,2021
mutwi Arsana Tjaja,G enk ayamny ...,1,2020
Vivia Budi Kusumawati,Gak jelas,1,2019
Saepul Noerdin,Sedotanya Mana PEA,1,2021
allshar Chanel,Panas... lama,1,2021
Nisa Nian Fadillah_X2F,mahal,1,2021
Ricky Pangestu,Lumayan,1,2018
Raikkonen Karamoy,Sudah lama sekali aku tidak sibuk,1,2024
Eureka Inola Kadly,"Makanannya rata-rata, tetapi bagian terburuk dari restoran cepat saji ini adalah layanan dan fasilitas yang buruk. Saya tidak tahu di mana tepatnya saya berada, di restoran cepat saji atau di sauna. Semoga pabrik richeese mendapat cukup uang untuk membeli AC :)",1,2017
Gilvert Yosua,"Pelayannya tidak ada niat bekerja, untuk membuatmu bahagia",1,2021
O A,Parkir gratis untuk mobil,1,2022
arlan malikan,Ltd,1,2022
Dendy Aditya Putra,Hmmmmm,1,2020
Andi Syahril,Oke,1,2019
ain't nobody watzituya!,Paling buruk,1,2018
Fuad Tri Septiyanto,Ulasan Sangat Negative,1,2024
Abdul Syakur,Ulasan Sangat Negative,1,2024
Nana Agtn,Ulasan Sangat Negative,1,2024
Hady Rockers,Ulasan Sangat Negative,1,2023
Muhammad Syarifuddin,Ulasan Sangat Negative,1,2023
febrian zallem,Ulasan Sangat Negative,1,2022
Giska hermiana Afrida,Ulasan Sangat Negative,1,2022
Mutiaa Herdiana,Ulasan Sangat Negative,1,2021
Gusti Pamungkas,Ulasan Sangat Negative,1,2021
Sendi Supriyadi,Ulasan Sangat Negative,1,2021
Restufauzi adawiyah,Ulasan Sangat Negative,1,2020
Muhammad_ Fahzr1,Ulasan Sangat Negative,1,2020
Kris Zivana,Ulasan Sangat Negative,1,2020
Olyn sabila,Ulasan Sangat Negative,1,2020
siti khadijah,Ulasan Sangat Negative,1,2020
FarFann n,Ulasan Sangat Negative,1,2020
Martua Anggasana,Ulasan Sangat Negative,1,2020
Iwan Meiyanto,Ulasan Sangat Negative,1,2020
ridho dwi,Ulasan Sangat Negative,1,2020
King Doen,Ulasan Sangat Negative,1,2020
Nurul Adawiya,Ulasan Sangat Negative,1,2020
Bagus Surono,Ulasan Sangat Negative,1,2020
HEY-DAR,Ulasan Sangat Negative,1,2020
jeje apriliani,Ulasan Sangat Negative,1,2020
Mak Umi,Ulasan Sangat Negative,1,2020
Muhammad Iqbal,Ulasan Sangat Negative,1,2020
Pudin 12345,Ulasan Sangat Negative,1,2020
Komar Udin,Ulasan Sangat Negative,1,2020
Herryby Budiyanto,Ulasan Sangat Negative,1,2020
Aenun Rahmawati,Ulasan Sangat Negative,1,2020
Fitria Febrianti,Ulasan Sangat Negative,1,2020
Yossi deviani Ramadhan,Ulasan Sangat Negative,1,2020
Agus Persija,Ulasan Sangat Negative,1,2020
Adi Rahidi,Ulasan Sangat Negative,1,2020
Enda Icha,Ulasan Sangat Negative,1,2019
Imron Rosadi,Ulasan Sangat Negative,1,2019
ardila arni,Ulasan Sangat Negative,1,2019
Ahmad Zawazir,Ulasan Sangat Negative,1,2019
Dimas prasetya,Ulasan Sangat Negative,1,2019
Fazril Adien Saputra,Ulasan Sangat Negative,1,2019
Kezia Estha T.,Ulasan Sangat Negative,1,2019
Putri Ramadhani,Ulasan Sangat Negative,1,2019
Dony Abdul,Ulasan Sangat Negative,1,2019
anisa barakanamla,Ulasan Sangat Negative,1,2019
PUJIHARTI 19,Ulasan Sangat Negative,1,2018
Nono Hartono,Ulasan Sangat Negative,1,2018
xi,Ulasan Sangat Negative,1,2018
Alfi Yani,Ulasan Sangat Negative,1,2018
ZAHWA SN,Ulasan Sangat Negative,1,2018
Lira Ghaitsa,Ulasan Sangat Negative,1,2018
Fendi,Ulasan Sangat Negative,1,2017
Edi Mulyana,Ulasan Sangat Negative,1,2017
Gabrielle Atsyifa,Ulasan Sangat Negative,1,2017
Gb Jkt,Ulasan Sangat Negative,1,2017
Rian Eko,"Sudah seminggu air disini rusak jadi makan pakai sarung tangan plastik, mana tisu juga ga dikasihin..kacaauuu banget sih padahal makanan favoritku ini dengan rasa pedasss yg muantanbb jd maaf ia bintang 2 dulu nanti klo dah diperbaiki saya kasih 5 bintang.",2,2023
BIMA AZHAR PRATAMA,"Pelayanannya buruk Pesanan makanan keluar nya terlalu lama Apa ayam nya di goreng satu???Pelayanan sangat jauh dibandingkan dgn toko ayam sebelah, ini kan judul nya ",2,2024
chahya elinne,"Menurut saya, richeese ini termasuk mahal.Dengan rasa yang menurut saya masih dibawah KFC dan McD, jadi bikin ga worth it. ",2,2024
Zulfah Fauziyah,"Pelayanannya lama banget, nunggu hampir 40 menit makanannya baru di panggil ",2,2024
babang ndip,"mesin kasir ada 3,yg aktif 1mesin yg 2 RUSAK apa gimana?",2,2020
Shafhan Abi,"mengecewakan. duduk di lantai atas, dan sangat panas. ac nyala tapi kaya ga nyala. alhasil saya banjir keringet, ditambah juga karena ayamnya yang pedes. thanks richeese margonda saya gamau lagi makan diatas",2,2019
Amri Khoirul Fath,"Please antrean untuk gojek/grab, dan pelanggan yang mau dine in dipisah kasirnya, karena antreannya terlalu panjang dan tidak nyaman, kasir yang diaktifkan juga cuma 1, padahal udah tahu yg antre panjang banget",2,2022
D May,"Meja yg hbs digunakan pelanggan tdk cpt2 dibersihkan, mau duduk jadi kurang nyaman karna tempatnya belum dibersihkan, padahal kondiai outlet tidak rame2 amat.",2,2020
Umri PDR,"Kasirnya kurang byk, utk yg mau nambah di antrian khusus jadi tdk perlu antri panjang lagi utk tambah minuman.",2,2019
Rima Putri,Kenapa richessee makin lama minta kejunya dibatasin ya padahal kan itu free sauce kalo dine in disana selalu dikasih kejunya dibatasin kalo minta lagi gabisa WHT,2,2020
Sir Munzilano,Rasa makanannya masih dibawah kompetitor sejenis...dan variasi makanan kurang banyak...Tapi itu semua tergantung lidah dan selera masing2.,2,2019
BiLqiS AiNi,Rasa makanannya biasa aja. Harga tergolong mahal. Cuma tempatnya aja bagus.enak buat nongkrong,2,2019
BT NEWS,"Pelayanan kurang ramah ,lahan parkir dikuasai preman sering memaksa uang parkir terhadap pengemudi ojol",2,2021
Rizki Febrian,27.10.2019 puanaaassss banget karena katanya AC nya bermasalah. ditambah antrian panjang :((,2,2020
Decky Hutadisurya,Utk tukang parkir sering paksa bayar parkir 2000 tiap dtg utk ambil order disana..,2,2019
Meta Sylvia,"Tolong ditingkatkan lg untuk pemesanan mknannya, minta minuman less ice diksh es bnyk banget",2,2020
Kartini Hasan,Pelayanan untuk driver ojol kurang memuaskan...kita sama belanja,2,2020
Yuli Yanti,"Ayamnya bau gosong, tidak disediakan tissue",2,2023
David Rafendra,"Banyak nyamuk disini, jd mengganggu.  Apa karena malem aku makan disininya, gak tau juga sih",2,2018
ahmad ridwan,Pesan fire flying chicken sampe 35 menit,2,2022
Golkar Gojek,Antri panjang kasir dibuka hanya 2 pada hal kasir ada 4,2,2020
David H. W.,Ayamnya kurang enak. Dan sering banyak paket kosong.,2,2019
Rahmadi Akbar,Lebih baik pesan delivery. Tempatnya ga enak utk nongkrong.,2,2018
Ernest Kawanni,Menunya enak.Pelayanannya lambat sekali.Panas.Susah Parkir.,2,2018
Dan,Panas banget kan ga nyaman makan pedes,2,2020
Maulana Ibrahim,Ngga lengkap fasilitasnya,2,2024
Odang Sadewo,Lumayan rekomended buat yg kelaparan,2,2020
Tri Wahyono,Layanannya lama padahal antrian panjang,2,2020
TOYOTA ASTRA,"Pelayanan, tempat dan makanannya mantap",2,2021
ANDRIE MR,"Panjang antriannya, susah parkir dan susah dapat meja",2,2018
Syamsul Bastyan,Parkir nya sempit,2,2019
Muhammad Reynaldy,"Awalnya kirain enak, ternyata ya biasa aja",2,2018
Adethia adethia ashari,Pelayanannya kurg ramah  ,2,2019
Haer Haerudin,pelayan yg gendut sombong,2,2023
Trisno Latif,Menu gak pernah lengkap.,2,2021
Arifin M. Susanto,"kurang bersih , sepi, mungkin kalah saing",2,2020
Rizky Ramadhan,Bukaknya sebentar,2,2018
Wahyuning Rahayu,Ayam goreng lagi,2,2018
rendra ahmad,Payah ngga bisa tcash,2,2018
Aris Kurniawan,Panas ac mati,2,2021
Rahayu Purnama Sari,Antriannya panjang,2,2018
Faisal Fachri,Fasilitas kurang,2,2020
luki sinaga,Lama antriannya,2,2019
Siti Falihah Rahman,Toilet kurang bersih ,2,2022
Joko Priyanto,Ngantri bgt..,2,2018
agung ajiyono,Mayan sepi,2,2020
Rizky Indriyani siregar,"Sebenarnya, bukan makanannya yang membuat saya memberi 2 bintang pada restoran bagus ini. Itu karena pelayannya. Saya sudah berada di depan konternya tetapi tanpa sepatah kata pun dia hanya berjalan menyiapkan pesanan yang lain dengan ",2,2023
Wisnu Mahendra,"Saya suka ayam api RF, tapi belum pernah makan di semua outlet RF. Mereka sangat buruk untuk makan di tempat. Suasana gelap, kurang bersih , tidak nyaman, interior kumuh",2,2021
Agus Hery,"Rasanya datar. Mirip dengan makanan cepat saji ayam lainnya, perlu meningkatkan tatse baru dan tolong buat yang berbeda dengan yang lain",2,2018
octi se,"pengalaman yang sangat buruk dengan staf, menunggu terlalu lama pesanan saya 15 menit. ",2,2020
Heru Ruseno,"Kalau pesen paha atas dikasih dada, kalau pesen paha atas dikasih paha atas..antriannya panjang",2,2020
nazhara saurus,Tidak ada soket pengisi daya di sini,2,2023
Yudistira Permana,Saya tidak suka saus kejunya,2,2018
Arkan Tanriwa,Pabrik Richeese Kelapa Dua lebih baik,2,2019
gayatri kusumawardhani,stafnya benar-benar tidak ramah sama sekali. ,2,2022
Akram,tempat agak panas dan gelap,2,2020
Dessyre Dangeubun,begitu lama menunggu makanan kita....,2,2019
Arkana Khosyi,Ulasan Negative,2,2020
Harrie Yusuf,Jadi begitulah,2,2018
Harry Amar,Ulasan Negative,2,2023
BOCAH ANGON,Ulasan Negative,2,2022
Ajeng Ramadhani,Ulasan Negative,2,2022
Hermansyah Hermansyah,Ulasan Negative,2,2022
Habibah,Ulasan Negative,2,2022
Gina Putri,Ulasan Negative,2,2021
Sugicharto To,Ulasan Negative,2,2021
Kosim Washing,Ulasan Negative,2,2020
Reza Herwansyah,Ulasan Negative,2,2020
Medz Fach (Dins),Ulasan Negative,2,2020
syafi'i Ahmad,Ulasan Negative,2,2020
Aris Kurniawan,Ulasan Negative,2,2020
Tomi Bor,Ulasan Negative,2,2020
R. Ferdian Tan,Ulasan Negative,2,2020
Felisitas Della,Ulasan Negative,2,2020
Kartika Amelia,Ulasan Negative,2,2020
rei tucul,Ulasan Negative,2,2020
Arie Transaksi,Ulasan Negative,2,2020
sunarto zulkifli,Ulasan Negative,2,2020
Harits Daffa,Ulasan Negative,2,2020
Dave Akers,Ulasan Negative,2,2019
Moh Sanusi,Ulasan Negative,2,2019
Mochamad Fadjar,Ulasan Negative,2,2019
Ariyo,Ulasan Negative,2,2019
Jimi,Ulasan Negative,2,2019
Puji Dwi,Ulasan Negative,2,2019
Lidya Latif,Ulasan Negative,2,2019
Prasnu Pradhana,Ulasan Negative,2,2019
Linda Lidyawati,Ulasan Negative,2,2019
Sattrio Desrianto Prabowo,Ulasan Negative,2,2018
Dini Savitri,Ulasan Negative,2,2018
Ryan Andriyan,Ulasan Negative,2,2018
Harto Harto,Ulasan Negative,2,2018
mohamad hasyim,Ulasan Negative,2,2018
Jihad Dzikri,Ulasan Negative,2,2018
Mochamad Riza Mulia,Ulasan Negative,2,2018
Sintia Nurfitriani,"Kenapa brand segede gini kasir cuman 1 dan layanin nya lama.dateng pas magrib masih sepi, tapi antrian lama bgt beda sama toko sebelah.pekerja nya dikit,, meja kurang bersih  saja gak langsung dibersihkan.",4,2024
